period,rand_frac,head_frac,rand_tokens,head_tokens,combined_tokens
2016-01,0.007014849561561209,0.02054925601871354,0.006253647362997359,0.00222986091476706,0.00848350827776442
2016-02,0.00702791447876288,0.02054925601871354,0.006265294567158901,0.00222986091476706,0.008495155481925962
2016-03,0.008101804012321617,0.025763495116515916,0.007222653152079918,0.002795673514203819,0.010018326666283738
2016-04,0.008116997811120881,0.027709167359915427,0.007236198226562426,0.003006804198670094,0.01024300242523252
2016-05,0.008116997811120881,0.03061993331808675,0.007236198226562426,0.0033226600737562744,0.010558858300318701
2016-06,0.008127729707393682,0.027709167359915427,0.007245765572837978,0.003006804198670094,0.010252569771508072
2016-07,0.012716159735566076,0.03253763242495394,0.011336291405809943,0.0035307553099435426,0.014867046715753486
2016-08,0.012716159735566076,0.03287219271558075,0.011336291405809943,0.0035670594425614077,0.014903350848371352
2016-09,0.012716159735566076,0.027774306726666077,0.011336291405809943,0.003013872665177965,0.014350164070987909
2016-10,0.012913270841293957,0.017999392248252973,0.01151201339895249,0.001953167609931465,0.013465181008883956
2016-11,0.01372680496011137,0.016649819410942814,0.012237268509871592,0.0018067214457098174,0.014043989955581409
2016-12,0.013578765061254048,0.02055812445929702,0.012105292860931026,0.0022308232556427603,0.014336116116573787
2017-01,0.013558613592980936,0.02055812445929702,0.01208732808844079,0.0022308232556427603,0.014318151344083551
2017-02,0.013558613592980936,0.031302584529345916,0.01208732808844079,0.0033967365879142065,0.015484064676354997
2017-03,0.013604049175570673,0.02055812445929702,0.012127833320770437,0.0022308232556427603,0.014358656576413198
2017-04,0.012865356423967295,0.019504073658562614,0.011469298317618979,0.002116445066933828,0.013585743384552807
2017-05,0.012733890694625485,0.01859620831182694,0.011352098325743463,0.0020179298968121574,0.01337002822255562
2017-06,0.012741541059088072,0.016885764897766005,0.011358918526394606,0.0018323245925392498,0.013191243118933856
2017-07,0.012909246380191657,0.01380876174237308,0.011508425644099159,0.001498429824544864,0.013006855468644022
2017-08,0.013008001211926605,0.01380876174237308,0.011596464295198193,0.001498429824544864,0.013094894119743057
2017-09,0.013116933847463748,0.01380876174237308,0.011693576326324858,0.001498429824544864,0.013192006150869722
2017-10,0.014881212878477722,0.012416261221408797,0.013266408190082827,0.001347325449638866,0.014613733639721693
2017-11,0.014722081409287734,0.012416261221408797,0.013124544550109285,0.001347325449638866,0.01447186999974815
2017-12,0.01302744305300052,0.012416261221408797,0.011613796444248108,0.001347325449638866,0.012961121893886974
2018-01,0.013092184383776654,0.012416261221408797,0.011671512500584319,0.001347325449638866,0.013018837950223185
2018-02,0.013148215769751675,0.014040177036890894,0.011721463754146169,0.0015235413867276822,0.013245005140873851
2018-03,0.011036073597322688,0.020574790127617426,0.009838516413512625,0.002232631696900794,0.01207114811041342
2018-04,0.008081866404300317,0.014040177036890894,0.007204879033229232,0.0015235413867276822,0.008728420419956914
2018-05,0.008057894614256182,0.014040177036890894,0.00718350849345069,0.0015235413867276822,0.008707049880178373
2018-06,0.00821131018217044,0.014040177036890894,0.007320276481603555,0.0015235413867276822,0.008843817868331237
2018-07,0.00819837163693575,0.014040177036890894,0.007308741936410838,0.0015235413867276822,0.008832283323138521
2018-08,0.008211368507693662,0.014040177036890894,0.007320328478050706,0.0015235413867276822,0.008843869864778389
2018-09,0.008211368507693662,0.014040177036890894,0.007320328478050706,0.0015235413867276822,0.008843869864778389
2018-10,0.008199217357022465,0.011290650754038243,0.00730949588489451,0.0012251821085779268,0.008534677993472437
2018-11,0.008206692744915384,0.00933145998392868,0.0073161600962042,0.0010125844885540568,0.008328744584758256
2018-12,0.008174574823461279,0.00933145998392868,0.0072875273859737445,0.0010125844885540568,0.008300111874527802
2019-01,0.00797084377084773,0.00933145998392868,0.0071059037960797015,0.0010125844885540568,0.008118488284633758
2019-02,0.008107354657948219,0.00933145998392868,0.0072276014806336684,0.0010125844885540568,0.008240185969187725
2019-03,0.0077536006386878095,0.00933145998392868,0.0069122343625959695,0.0010125844885540568,0.007924818851150026
2019-04,0.010827715386533546,0.00933145998392868,0.009652767772144704,0.0010125844885540568,0.01066535226069876
2019-05,0.01086348837410955,0.00933145998392868,0.009684658926396545,0.0010125844885540568,0.010697243414950602
2019-06,0.010835190774426467,0.011086430852523857,0.009659431983454396,0.0012030215994096238,0.010862453582864019
2019-07,0.010835705983214925,0.00933145998392868,0.009659891285404218,0.0010125844885540568,0.010672475773958275
2019-08,0.010854029918427089,0.00933145998392868,0.009676226835883761,0.0010125844885540568,0.010688811324437818
2019-09,0.0116895527594991,0.010376969987408056,0.010421084607378317,0.001126035889939759,0.011547120497318077
2019-10,0.011557678751494738,0.00864499011174713,0.010303520640372753,0.0009380936001370362,0.01124161424050979
2019-11,0.012165877865810002,0.00864499011174713,0.010845722259101194,0.0009380936001370362,0.01178381585923823
2019-12,0.012252773174489863,0.00864499011174713,0.010923188299279782,0.0009380936001370362,0.011861281899416818
2020-01,0.012303263635758819,0.00864499011174713,0.010968199890362407,0.0009380936001370362,0.011906293490499443
2020-02,0.012317932504849086,0.009611947876415835,0.010981276996820567,0.0010430210643577215,0.012024298061178289
2020-03,0.01119819911003806,0.00864499011174713,0.009983049204439853,0.0009380936001370362,0.01092114280457689
2020-04,0.011189372514190502,0.010389186484306999,0.009975180408771192,0.0011273615383683698,0.011102541947139562
2020-05,0.010582048282723563,0.011352991838872019,0.009433758736749997,0.0012319469251887288,0.010665705661938725
2020-06,0.010535766980047111,0.016123105350053082,0.009392499555936679,0.0017495661357284403,0.011142065691665119
2020-07,0.01052570582729136,0.010389186484306999,0.009383530168803349,0.0011273615383683698,0.010510891707171718
2020-08,0.01052570582729136,0.010389186484306999,0.009383530168803349,0.0011273615383683698,0.010510891707171718
2020-09,0.010527134802610293,0.010389186484306999,0.009384804081758517,0.0011273615383683698,0.010512165620126886
2020-10,0.01042587197337681,0.010389186484306999,0.009294529583432043,0.0011273615383683698,0.010421891121800413
2020-11,0.01042587197337681,0.013137011470989144,0.009294529583432043,0.001425536203808468,0.010720065787240511
2020-12,0.011019052265462475,0.010389186484306999,0.009823342117019426,0.0011273615383683698,0.010950703655387795
2021-01,0.011019052265462475,0.010389186484306999,0.009823342117019426,0.0011273615383683698,0.010950703655387795
2021-02,0.011095886421386585,0.010389186484306999,0.009891838770064684,0.0011273615383683698,0.011019200308433053
2021-03,0.011095886421386585,0.013137011470989144,0.009891838770064684,0.001425536203808468,0.011317374973873152
2021-04,0.011111099662026924,0.010389186484306999,0.009905401176696242,0.0011273615383683698,0.011032762715064611
2021-05,0.011438782172407213,0.010389186484306999,0.010197525882858006,0.0011273615383683698,0.011324887421226375
2021-06,0.011438782172407213,0.010389186484306999,0.010197525882858006,0.0011273615383683698,0.011324887421226375
2021-07,0.011438782172407213,0.010389186484306999,0.010197525882858006,0.0011273615383683698,0.011324887421226375
2021-08,0.011324940471998907,0.00930264759064803,0.01009603748409624,0.0010094579700280861,0.011105495454124325
2021-09,0.01308916117748966,0.007889923459664943,0.011668817351407056,0.000856159071023729,0.012524976422430785
2021-10,0.013139476662188952,0.008692639646950481,0.011713672953148234,0.0009432641929828311,0.012656937146131064
2021-11,0.011416307404125768,0.008692639646950481,0.010177489918556307,0.0009432641929828311,0.011120754111539137
