period,rand,head
2016-01,0.0030545249076169884,0.005143841531661971
2016-02,0.003059729746058526,0.005041939351882652
2016-03,0.008015673698656923,0.005445960348292512
2016-04,0.008029200687014832,0.005584570710882028
2016-05,0.008029200687014832,0.0056139176656322
2016-06,0.008032752511636194,0.005538307197175841
2016-07,0.009593816127535033,0.005980307651468125
2016-08,0.009593816127535033,0.005890159823173066
2016-09,0.009593816127535033,0.00588141372326064
2016-10,0.009868985265321371,0.004948905495587089
2016-11,0.010037183789953937,0.00470003577736155
2016-12,0.01255395033478476,0.004894807044221166
2017-01,0.012648782537786162,0.004886834354231185
2017-02,0.012648782537786162,0.0055952633653711574
2017-03,0.012691431226278358,0.005249581941794894
2017-04,0.012319312070744262,0.005018350752598243
2017-05,0.01220496987798931,0.005148669660896687
2017-06,0.012215984145550801,0.00522144103883364
2017-07,0.012168617552920685,0.004753403216479619
2017-08,0.012219965823660283,0.004599056933433481
2017-09,0.01226358954567432,0.00462979071127038
2017-10,0.012493854720299076,0.004723360409137562
2017-11,0.01241909865554778,0.0045323047506126415
2017-12,0.012142789066366124,0.004266105853778194
2018-01,0.012193775048664517,0.004453979687339914
2018-02,0.012271798698874301,0.0044126849637768605
2018-03,0.015076463403347035,0.004613163052657593
2018-04,0.01491813985979525,0.0045158597833336415
2018-05,0.010781848459766444,0.004732848211637413
2018-06,0.010855387188758696,0.004898163309890031
2018-07,0.01086211573549959,0.004765187579891088
2018-08,0.010889123115631331,0.004969277635276092
2018-09,0.010889123115631331,0.005017597796318072
2018-10,0.010823129538515944,0.004677472734005158
2018-11,0.010825469851951272,0.0042501383131601875
2018-12,0.01081170755084377,0.004017173261951251
2019-01,0.010744833298289303,0.004054593200492523
2019-02,0.010679313841416913,0.0037080549176308547
2019-03,0.008133885737719572,0.0037863799809035826
2019-04,0.008253715843164337,0.003873498409598263
2019-05,0.008258518786068201,0.00391289354280716
2019-06,0.007929531758586114,0.003970535648756786
2019-07,0.00792805930652924,0.003755088938029606
2019-08,0.00807674085192064,0.0037982498563350416
2019-09,0.008122169026653102,0.0037325702337769368
2019-10,0.00807142185184811,0.0038769562009576264
2019-11,0.008145552357458157,0.003982267196025484
2019-12,0.008148948083522858,0.003798929306614041
2020-01,0.008187086222676283,0.00396437279858145
2020-02,0.008188844078810634,0.0038576660140193127
2020-03,0.003317816576121789,0.003774990539654647
2020-04,0.003170273152296501,0.0037821258399162077
2020-05,0.00309624748900063,0.003913413680909068
2020-06,0.0030557597170950608,0.003996652185767021
2020-07,0.003053926141511583,0.0037633532354887462
2020-08,0.003053926141511583,0.0038065989179450065
2020-09,0.003055284431937463,0.0036998451442016396
2020-10,0.0029929673253058483,0.0035117859719027695
2020-11,0.0029929673253058483,0.0037149801058777403
2020-12,0.0032320800263324592,0.003636936817243703
2021-01,0.0032320800263324592,0.0036428589373376655
2021-02,0.0033181322679789195,0.0037689402674103097
2021-03,0.0033181322679789195,0.00358249259806239
2021-04,0.003319552298878703,0.0033307306825842704
2021-05,0.0034107406490051857,0.0035141765352441506
2021-06,0.0034107406490051857,0.0033080747260664347
2021-07,0.0034107406490051857,0.0033400127916480555
2021-08,0.003356233129865081,0.003419354685114283
2021-09,0.004736863123067016,0.0032075953446439806
2021-10,0.004765516527531318,0.0034843705073802026
2021-11,0.0034018150733250018,0.00333896399472749
2021-12,0.0032171737790858347,0.00370246288773264
2022-01,0.0032179997035386215,0.0034908675641515314
2022-02,0.0032188372771374276,0.0035926052403473015
2022-03,0.001762204760560104,0.004053562342626728
2022-04,0.0017690032021771167,0.003971853231994698
2022-05,0.0017690032021771167,0.003968670331133902
2022-06,0.0018079299885160648,0.004054495348185614
2022-07,0.0018079299885160648,0.004015606506356797
2022-08,0.0018079299885160648,0.003735605876614066
2022-09,0.0018344166518207297,0.004040462630671027
2022-10,0.0028054743201210938,0.003745966614466542
2022-11,0.0028054743201210938,0.0038040610805350904
2022-12,0.0029924256400159386,0.004181304591172279
2023-01,0.0029924256400159386,0.004088165645442568
2023-02,0.0029924256400159386,0.004158094493018505
2023-03,0.0029924256400159386,0.005051525019168755
2023-04,0.0029924256400159386,0.005265192612439639
2023-05,0.0036462875464352102,0.0049828302198951365
2023-06,0.0036457062540488343,0.0053677348568018065
2023-07,0.0036457062540488343,0.006109938034331465
2023-08,0.00493375582417495,0.006547179913004175
2023-09,0.022259431681319452,0.01831289175897177
2023-10,0.024613238322482706,0.022675118319081634
2023-11,0.02660903059411235,0.025814195053156987
2023-12,0.02697223582311228,0.02658663321901104
2024-01,0.03600407384837189,0.027185350964561227
2024-02,0.027171729778526384,0.027237116630158546
2024-03,0.026875573539271207,0.027649341826188452
2024-04,0.026539617992640225,0.03048285631599706
