period,rand,head
2016-01,0.09759836832690964,0.03061979300905569
2016-02,0.0976905714591929,0.031033800888216643
2016-03,0.10713051928955608,0.03203723164039527
2016-04,0.10723142100477481,0.03207640962628113
2016-05,0.10762102425522332,0.03232468877570631
2016-06,0.11020033416180185,0.03295678352736744
2016-07,0.10526534272681902,0.0331374753292429
2016-08,0.10526843617191818,0.033517510539241895
2016-09,0.10570691585493308,0.03347738226294965
2016-10,0.10611729135836818,0.033460043402581
2016-11,0.10701136163117021,0.03327893095044508
2016-12,0.10825464491900694,0.03483491379728293
2017-01,0.10832178652890494,0.03472345686805638
2017-02,0.10794223466648749,0.035502040591107474
2017-03,0.10856746609184553,0.035105706941948686
2017-04,0.10933721680832015,0.03543246559135909
2017-05,0.11453196067290353,0.0350739068293892
2017-06,0.11598655858058701,0.03438856322266943
2017-07,0.11684907571337784,0.03387311358520186
2017-08,0.11771794595132748,0.03386058825081707
2017-09,0.11832860124806169,0.034145348417712815
2017-10,0.11871945572779659,0.03421186541349348
2017-11,0.11896368090983236,0.034708436011003256
2017-12,0.11941128856443084,0.03476612888576421
2018-01,0.1197285005824773,0.03488095912184457
2018-02,0.1203555095844968,0.03475527459299881
2018-03,0.11785384976698884,0.03412461340489486
2018-04,0.11876881233691565,0.03461188663550854
2018-05,0.12294885080399512,0.034926783499928275
2018-06,0.1360416725028046,0.03466260897849753
2018-07,0.1429007637040397,0.036094543228010235
2018-08,0.1410931760080512,0.03638295946845817
2018-09,0.14236639645711605,0.03672323721126022
2018-10,0.1420194827490356,0.035809951172883325
2018-11,0.14230053377899785,0.03598438925648185
2018-12,0.1367354675993898,0.038034293324151834
2019-01,0.14041974224413348,0.037480550933467756
2019-02,0.13998319711857612,0.03732829912401772
2019-03,0.13905127600559092,0.03729622303695739
2019-04,0.14571072918795797,0.03727042323564072
2019-05,0.14602564651613237,0.03732467762870399
2019-06,0.14593856834513277,0.03754543238808397
2019-07,0.146752301387002,0.037596961028843044
2019-08,0.1475944156333852,0.03747815143841997
2019-09,0.14776062597685363,0.03736773579894478
2019-10,0.14827928591000528,0.03766284689918988
2019-11,0.1485747099169729,0.03759057453823029
2019-12,0.14913618405371304,0.03801165271688391
2020-01,0.14892573282824473,0.03829066865839025
2020-02,0.14911565650608502,0.03903081566486525
2020-03,0.14735760086834065,0.03913782959419502
2020-04,0.1474864774848365,0.038823778995138856
2020-05,0.14787074338821848,0.038884421589062905
2020-06,0.14780071610192203,0.039201900139958765
2020-07,0.1459982810697106,0.03962937766414214
2020-08,0.14600648100776442,0.04046764208005423
2020-09,0.1460530535162943,0.0406343080964561
2020-10,0.14609668956052105,0.04038736852501834
2020-11,0.1458906430315073,0.04105445553178913
2020-12,0.09512233331581996,0.04062604697883718
2021-01,0.09498057042279918,0.04033730340033416
2021-02,0.09518422530321388,0.04106711906934009
2021-03,0.095583967666256,0.04114952404475615
2021-04,0.09321688194472504,0.041394361823847904
2021-05,0.09329859968324686,0.04115685727597376
2021-06,0.09594253950698615,0.04119965094574571
2021-07,0.09599556669648407,0.04149926740528753
2021-08,0.09606455052219483,0.04125926862536018
2021-09,0.09721798538968947,0.04063331138294089
2021-10,0.09731373444113112,0.04091961102434492
2021-11,0.09748093745728062,0.040742335397751114
2021-12,0.09779416031627387,0.0409470407164203
2022-01,0.09772913794712289,0.040715065168615415
2022-02,0.11060247740760747,0.04117377711093957
2022-03,0.10896093384012687,0.041314077790188274
2022-04,0.10907516968884755,0.04212812318629512
2022-05,0.10911854255938679,0.04186356612800555
2022-06,0.10887433122859774,0.042303979729106336
2022-07,0.10895242917464536,0.042283599913576164
2022-08,0.10868348875139212,0.0419844680763537
2022-09,0.1087118376363305,0.04240603136283218
2022-10,0.10967854384689318,0.042617160370618454
2022-11,0.10968432443385454,0.042801525836471524
2022-12,0.10996539393214572,0.0429073738255624
2023-01,0.1095917149983344,0.043003503738943294
2023-02,0.10965876426658763,0.04314353799277923
2023-03,0.10988505208413066,0.0431986082448993
2023-04,0.11067828066378305,0.043278651065276015
2023-05,0.11256937290911931,0.04327485465379727
2023-06,0.11257608152961042,0.04325215572243646
2023-07,0.12219585086187823,0.04456058883696935
2023-08,0.12336364485513153,0.04481940949651095
2023-09,0.1425886027739611,0.05253630452391974
2023-10,0.15395510204124468,0.0550648278086485
2023-11,0.15652421743024272,0.056714528953260034
2023-12,0.1570173679840321,0.05799555324025542
2024-01,0.15849251190767252,0.058363161200179293
2024-02,0.15269046936514163,0.05880509794182191
2024-03,0.15257736470156916,0.059970505264010154
2024-04,0.15227293276715612,0.06322427489370841
