bucket_midpoint,count
1118.0,44823
1124.0,45032
1130.0,44536
1136.0,44245
1142.0,43993
1148.5,50706
1155.0,43674
1161.0,43135
1167.0,43294
1173.5,49923
1180.0,41859
1186.5,49017
1193.0,42385
1199.5,48460
1206.0,41351
1212.5,47792
1219.0,41349
1225.5,47573
1232.5,47506
1239.5,47306
1246.0,40548
1252.5,46101
1259.5,46358
1266.5,45924
1273.5,46352
1280.5,45373
1287.5,45465
1294.5,45236
1301.5,45573
1308.0,38782
1315.0,51974
1322.5,44493
1329.5,44266
1336.5,43959
1343.5,44121
1350.5,43815
1358.0,49075
1365.5,43089
1373.0,49097
1380.5,42240
1387.5,42688
1395.0,47865
1403.0,47725
1410.5,41333
1418.0,46956
1426.0,46680
1433.5,42499
1441.0,46412
1449.0,45649
1457.0,45533
1465.0,45527
1473.0,45007
1481.0,44850
1489.0,44644
1497.0,44296
1505.0,44645
1513.5,49045
1522.0,43322
1530.0,44062
1538.5,48209
1547.0,42578
1555.5,47981
1564.0,42793
1572.5,47874
1581.0,42016
1589.5,47115
1598.5,46831
1607.0,41516
1615.5,45915
1624.5,46184
1633.5,45613
1642.5,45529
1651.5,44963
1660.5,44827
1669.5,44399
1678.5,44033
1688.0,49043
1697.5,43881
1706.5,44170
1716.0,48288
1725.5,43097
1734.5,43219
1744.0,48020
1754.0,47048
1763.5,41919
1773.0,46835
1783.0,46476
1792.5,41594
1802.0,46002
1812.0,45734
1822.0,45367
1832.0,44797
1842.0,44727
1852.5,48756
1863.0,44390
1873.0,43995
1883.0,43635
1893.5,47811
1904.0,43153
1914.5,47323
1925.0,42532
1935.5,46602
1946.5,46049
1957.5,46008
1968.5,45421
1979.5,45112
1990.5,44854
2001.5,44471
2012.5,44468
2023.5,44381
2035.0,47928
2046.5,43614
2058.0,47493
2069.5,43335
2081.0,46847
2092.5,42547
2104.0,46283
2116.0,45677
2128.0,45539
2140.0,45367
2152.0,45207
2164.0,44892
2176.0,44531
2188.5,47734
2201.0,44009
2213.0,43809
2225.5,47264
2238.0,42947
2250.5,46412
2263.5,46144
2276.5,45926
2289.5,45544
2302.5,45520
2315.5,44733
2328.0,42797
2341.0,47709
2354.5,44500
2367.5,43906
2381.0,47469
2394.5,42978
2408.0,46391
2422.0,45944
2435.5,43036
2449.0,45399
2463.0,45291
2477.0,45443
2491.0,45281
2505.0,44826
2519.5,47222
2534.0,43516
2548.5,46605
2563.5,46385
2578.0,42933
2592.5,45354
2607.5,44998
2623.0,47689
2638.5,44714
2653.5,43846
2669.0,46537
2684.5,43633
2700.0,46291
2716.0,45704
2732.0,45620
2748.0,44989
2764.0,44817
2780.0,44233
2796.5,46641
2813.0,43798
2829.5,46280
2846.5,45601
2863.5,45544
2880.5,45066
2897.5,44508
2914.5,44319
2932.0,47099
2949.5,43747
2967.0,46337
2985.0,46093
3002.5,43165
3020.0,45367
3038.0,45011
3056.5,46986
3075.0,44533
3093.5,46395
3112.0,43725
3130.5,46042
3149.5,45580
3168.5,44962
3187.5,44603
3206.5,44440
3226.0,46372
3246.0,45757
3266.0,45432
3286.0,45293
3306.0,45207
3326.0,44804
3346.0,44106
3366.5,46270
3387.5,45549
3408.5,45164
3429.5,45114
3450.5,44775
3472.0,46667
3493.5,44146
3515.0,45731
3537.0,45073
3559.0,44945
3581.0,44820
3603.5,46677
3626.0,43949
3648.5,45263
3671.5,45577
3694.5,44933
3717.5,45015
3741.0,46348
3764.5,44060
3788.3440000005066,46943
3812.8440000005066,44513
3837.0,44968
3861.0,44782
3885.5,45995
3910.5,45382
3935.5,45120
3960.5,44639
3986.0,45948
4011.5,44166
4037.0,45319
4063.5,46834
4090.0,45011
4116.0,44592
4142.5,45850
4169.0,43964
4196.0,46584
4223.5,45021
4251.0,45691
4278.830000001937,45272
4306.830000001937,45113
4335.0,44804
4363.0,44344
4391.5,45824
4420.5,45231
4449.5,45088
4478.5,44843
4508.0,45657
4538.0,45441
4568.0,44708
4598.5,46145
4629.0,44621
4659.5,45014
4691.0,46147
4722.5,44528
4754.0,45758
4786.0,44946
4818.5,46032
4851.0,44189
4883.5,45403
4917.0,45761
4950.5,44498
4984.0,45210
5018.5,46134
5053.0,44527
5087.5,45423
5123.0,46067
5158.5,44284
5194.0,45344
5230.5,46130
5267.0,44428
5304.0,45906
5341.5,44642
5379.0,45884
5417.0,45068
5455.0,44904
5493.5,45482
5532.5,45058
5572.0,45767
5612.0,45388
5652.0,44931
5692.0,44960
5732.5,45044
5774.0,45828
5815.5,44473
5857.5,45850
5900.5,45454
5943.5,45184
5987.0,45464
6031.0,45187
6075.0,44566
6119.5,45266
6165.0,45821
6211.0,45242
6257.0,44845
6303.5,45507
6351.0,45545
6399.0,44986
6447.0,45278
6495.5,45384
6544.5,44638
6594.0,45186
6644.5,45256
6695.5,45299
6747.0,45922
6799.0,45018
6851.0,44996
6904.0,45661
6957.5,45045
7011.0,44904
7065.5,45253
7121.5,45852
7178.0,44809
7234.5,45253
7292.0,45628
7350.0,45303
7408.0,44844
7467.0,45496
7527.0,45310
7587.5,45248
7648.5,44852
7710.5,45598
7773.5,45210
7836.5,45084
7900.0,45303
7964.5,45105
8030.0,45255
8096.5,45656
8163.5,45157
8231.0,45166
8299.5,45308
8368.5,44781
8438.5,45539
8509.5,45085
8581.0,45425
8653.5,45205
8727.0,45191
8801.5,45588
8877.0,45121
8953.5,45246
9031.0,45293
9109.5,45310
9189.0,45214
9269.5,45177
9351.0,45243
9433.0,45056
9516.0,45405
9600.5,45119
9686.0,45094
9773.0,45540
9861.0,45099
9950.0,45070
10040.5,45319
