bucket_midpoint,count
777.5,27168
781.0,35800
785.0,35659
789.0,35602
792.5,26121
796.0,34574
800.0,34655
804.0,34288
808.0,34119
812.0,33454
816.0,33475
820.0,33364
824.0,33336
828.0,32694
832.0,33059
836.0,31970
840.0,32432
844.0,32161
848.5,39810
853.0,31633
857.0,31299
861.0,31150
865.0,31118
869.5,38755
874.0,30559
878.5,37594
883.0,30063
887.0,29739
891.5,36974
896.0,29340
900.5,36305
905.5,36160
910.0,28599
914.5,35360
919.5,34902
924.5,34782
929.0,27841
933.5,34824
938.5,34148
943.5,34176
948.5,33625
953.5,33730
958.5,33524
963.5,32946
968.5,32783
973.5,32501
978.5,32298
983.5,31957
988.5,32190
994.0,38570
999.5,32001
1004.5,31658
1009.5,31485
1015.0,37564
1020.5,31277
1025.5,31254
1031.0,37243
1036.5,30705
1041.5,30561
1047.0,36490
1052.5,30379
1058.0,35766
1063.5,29779
1069.0,35358
1075.0,35682
1080.5,29545
1086.0,34766
1092.0,34750
1098.0,34714
1103.5,28746
1109.0,34184
1115.0,34020
1121.0,33999
1127.0,33701
1133.0,33509
1139.0,33148
1145.0,33144
1151.0,33046
1157.0,32655
1163.0,32554
1169.0,32530
1175.0,32262
1181.5,37361
1188.0,31674
1194.0,31713
1200.0,31397
1206.5,36175
1213.0,30728
1219.5,36144
1226.0,30751
1232.5,35793
1239.0,30424
1245.5,35142
1252.5,34570
1259.0,29905
1265.5,34382
1272.5,34147
1279.5,34011
1286.5,33995
1293.5,33444
1300.5,33296
1307.5,33186
1314.5,32997
1321.5,32664
1328.5,32345
1335.5,32342
1342.5,32299
1350.0,36265
1357.5,31101
1365.0,35459
1372.5,30824
1380.0,34801
1387.5,30345
1395.0,34190
1403.0,33603
1411.0,33574
1419.0,33437
1427.0,33229
1435.0,32646
1443.0,32367
1451.5,36182
1460.0,32052
1468.0,31508
1476.5,35367
1485.0,30968
1493.5,34350
1502.5,34654
1511.0,30609
1519.5,34232
1528.5,33713
1537.5,33430
1546.5,33141
1555.5,33063
1564.5,32702
1573.5,32358
1583.0,36101
1592.5,32123
1601.5,31594
1611.0,34900
1620.5,31163
1630.0,34531
1640.0,34197
1650.0,34131
1659.5,30470
1669.0,33360
1679.0,33184
1689.0,33241
1699.5,35726
1710.0,32286
1720.0,32240
1730.5,35119
1741.0,31719
1751.5,34730
1762.0,31005
1772.5,34012
1783.5,33630
1794.5,33662
1805.5,33292
1816.5,33232
1827.5,32962
1838.5,32513
1849.5,32613
1861.0,35247
1872.5,31649
1884.0,34547
1895.5,31405
1907.0,33848
1919.0,33974
1931.0,33118
1943.0,32916
1955.0,32706
1967.0,32272
1979.5,34644
1992.0,31894
2004.5,34358
2017.5,33855
2030.5,33884
2043.0,30731
2056.0,35373
2069.5,32689
2082.5,32423
2096.0,34411
2109.5,31683
2123.0,33690
2137.0,33911
2151.0,33443
2165.0,33045
2179.0,32909
2193.0,32395
2207.5,34259
2222.5,33929
2237.0,32006
2251.5,33466
2266.5,33229
2281.5,32946
2296.5,32430
2312.0,35104
2327.5,31904
2343.0,33696
2359.0,33388
2375.0,33136
2391.0,32891
2407.0,32526
2423.5,34515
2440.0,32118
2456.5,33574
2473.5,33237
2490.5,32962
2507.5,32920
2525.0,34745
2542.5,32438
2560.0,33655
2578.0,33443
2596.0,33287
2614.0,33035
2632.0,32643
2650.5,33985
2669.0,32423
2687.5,33740
