ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate
puxi1243,Pu-Xian Chinese,Eurasia,25.37,118.68,puxi1243,cpx,language,CN,sino1245,,cpx,,,false
minz1235,Min Zhong Chinese,Eurasia,26.0686,117.376,minz1235,czo,language,CN,sino1245,,czo,,,false
minb1244,Min Bei Chinese,Eurasia,27.05,118.32,minb1244,mnp,language,CN,sino1245,,mnp,,,false
xian1251,Xiang Chinese,Eurasia,27.66847,111.47112,xian1251,hsn,language,CN,sino1245,,hsn,,,false
nort3155,Northern Chinese,,37.613033333333334,106.783887,nort3155,,family,,sino1245,,,,,
yuep1234,Yue-Pinghua,,23.557250000000003,111.03450000000001,yuep1234,,family,,sino1245,,,,,
midd1344,Middle Chinese,Eurasia,34.27,108.9,midd1344,ltc,language,CN,sino1245,,ltc,601,1150,false
wuhu1234,Wu-Hui Chinese,,29.81335,118.957,wuhu1234,,family,,sino1245,,,,,
ganc1239,Gan Chinese,Eurasia,27.9896,115.166,ganc1239,gan,language,CN,sino1245,,gan,,,false
hakk1236,Hakka Chinese,Eurasia,25.0,116.0,hakk1236,hak,language,CN;TW,sino1245,,hak,,,false
quji1234,Qujiang Hakka-Shibei Shaoguan Tuhua,Eurasia,24.816667,113.6,quji1234,,language,CN,sino1245,,,,,false
tang1379,Tangsa,,27.319491,96.2049465,tang1379,,family,,sino1245,,,,,
heim1234,Heimic,,26.969648,95.8206405,heim1234,,family,,sino1245,,,,,
noct1239,Noctean,,27.280931333333335,95.86182383333335,noct1239,,family,,sino1245,,,,,
sout3407,Southwestern Patkaian,,26.40801,95.09421666666665,sout3407,,family,,sino1245,,,,,
khia1235,Southeastern Patkaian,,26.33272,95.435599875,khia1235,,family,,sino1245,,,,,
